"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.389334333E0,-1.559715539E-2,-3.559083223E-2,-1.320166808E-1,1.376167963E-1
1.399367333E0,3.653384194E-2,-1.039161319E-1,-1.044517368E-1,1.518006897E-1
1.409401333E0,3.574402928E-2,-2.611810899E-1,1.093838632E-1,2.854085263E-1
1.419435333E0,7.155267030E-2,-3.368142396E-1,3.141708970E-1,4.661190504E-1
1.429469333E0,5.986262441E-2,-4.284471256E-1,2.770387387E-1,5.137128925E-1
1.439503333E0,3.335105628E-3,-4.657552850E-1,-5.178294182E-2,4.686369400E-1
1.449536333E0,-1.645494193E-2,-4.825601828E-1,-3.204987538E-1,5.795295906E-1
1.459570333E0,-8.229195893E-2,-6.302064711E-1,-5.282947648E-1,8.264547908E-1
1.469604333E0,-2.158797866E-1,-7.884631169E-1,-6.326623017E-1,1.033701967E0
1.479638333E0,-3.210090695E-1,-9.250605065E-1,-5.500879222E-1,1.123111965E0
1.489671333E0,-3.540651338E-1,-1.063621391E0,-4.348170823E-1,1.202380338E0
1.499705333E0,-3.533810095E-1,-1.187375371E0,-4.982155180E-1,1.335274171E0
1.509739333E0,-3.217696461E-1,-1.338331769E0,-6.174700660E-1,1.508620864E0
1.519773333E0,-2.449398637E-2,-1.300183949E0,-8.199398482E-1,1.537328726E0
1.529806333E0,5.525136396E-2,-1.175883839E0,-1.190293132E0,1.674082810E0
1.539840333E0,-2.171949716E-1,-1.121774874E0,-1.529415268E0,1.909100203E0
1.549874333E0,-4.574498999E-1,-9.744390732E-1,-1.789545028E0,2.088363792E0
1.559908333E0,-5.353484072E-1,-6.990580201E-1,-1.727263995E0,1.938742103E0
1.569942333E0,-5.132434469E-1,-7.428279376E-1,-1.565615380E0,1.807308413E0
1.579975333E0,-4.187205747E-1,-8.615240765E-1,-1.370056422E0,1.671707287E0
1.590009333E0,-3.170396872E-1,-8.582519746E-1,-1.141908592E0,1.463238138E0
1.600043333E0,-1.552549776E-1,-8.895585519E-1,-9.475594229E-1,1.308926043E0
1.610077333E0,1.992643386E-1,-8.486602020E-1,-6.798692125E-1,1.105510091E0
1.620110333E0,5.291452423E-1,-7.474425602E-1,-4.119784427E-1,1.004186888E0
1.630144333E0,6.899509817E-1,-8.450600713E-1,-3.049568546E-1,1.132765450E0
1.640178333E0,8.212057704E-1,-8.988977247E-1,-3.930416501E-1,1.279405243E0
1.650212333E0,6.673859918E-1,-8.323745370E-1,-5.992688531E-1,1.223672583E0
1.660246333E0,3.848818606E-1,-8.086354262E-1,-7.275193423E-1,1.153823943E0
1.670279333E0,1.002215686E-1,-7.196834886E-1,-7.215774018E-1,1.024042301E0
1.680313333E0,-1.295608503E-1,-6.115237400E-1,-6.125829631E-1,8.752172217E-1
1.690347333E0,-2.685436115E-1,-6.054657322E-1,-5.311061060E-1,8.489865252E-1
1.700381333E0,-3.213863611E-2,-4.846762902E-1,-4.821573097E-1,6.844119150E-1
1.710414333E0,9.712254435E-2,-1.456804544E-2,-4.422290128E-1,4.530027774E-1
1.720448333E0,6.738857567E-2,3.937149569E-1,-2.396177280E-1,4.657996812E-1
1.730482333E0,1.877052703E-1,7.425455171E-1,2.104050386E-1,7.942779071E-1
1.740516333E0,3.286965501E-1,1.039807144E0,8.803579581E-1,1.401524332E0
1.750549333E0,3.845357054E-1,1.138311677E0,1.532946986E0,1.947703172E0
1.760583333E0,2.792568800E-1,1.072070033E0,1.953788053E0,2.246020106E0
1.770617333E0,2.377434030E-1,1.081998897E0,2.248108823E0,2.506239577E0
1.780651333E0,3.351480755E-1,1.182062007E0,2.280184894E0,2.590142461E0
1.790685333E0,4.651848891E-1,1.341070897E0,1.994885209E0,2.448353554E0
1.800718333E0,4.654576617E-1,1.478226111E0,1.566525207E0,2.203589002E0
1.810752333E0,3.554525319E-1,1.485965778E0,1.117198843E0,1.892768885E0
1.820786333E0,2.424211755E-1,1.409570736E0,7.019453752E-1,1.593230992E0
1.830820333E0,2.135680899E-1,1.230620794E0,4.568657631E-1,1.329949319E0
1.840853333E0,2.530967295E-2,8.818466592E-1,2.268678743E-1,9.109133561E-1
1.850887333E0,-2.316929966E-1,4.781876349E-1,3.305606425E-2,5.323887323E-1
1.860921333E0,-4.895022896E-1,1.401317391E-1,-1.205391812E-1,5.232390372E-1
1.870955333E0,-7.086050615E-1,-1.686453938E-1,-4.156481552E-1,8.386452116E-1
1.880989333E0,-7.153276053E-1,-2.742949328E-1,-7.805740535E-1,1.093721695E0
1.891022333E0,-3.843100029E-1,-2.986348450E-2,-1.121901759E0,1.186275500E0
1.901056333E0,5.442734510E-2,4.312458953E-1,-1.327600958E0,1.396946550E0
1.911090333E0,3.131303850E-1,7.281464562E-1,-1.252019264E0,1.481823248E0
1.921124333E0,4.994179979E-1,7.928836119E-1,-8.929680634E-1,1.294401298E0
1.931157250E0,6.296524474E-1,7.764336401E-1,-2.227093345E-1,1.024163488E0
1.941191250E0,5.856696913E-1,6.272667834E-1,6.449069560E-1,1.073488513E0
1.951225250E0,4.162749767E-1,3.470176309E-1,1.358178388E0,1.462311398E0
1.961259250E0,1.556487876E-1,1.749065924E-1,1.653518327E0,1.670012491E0
1.971293250E0,-1.170779219E-1,1.052671310E-1,1.490644135E0,1.498935738E0
1.981326250E0,-2.838703331E-1,1.396929055E-1,1.078400813E0,1.123852654E0
1.991360250E0,-4.156943482E-1,2.886331826E-1,6.392187846E-1,8.152984483E-1
2.001394250E0,-3.973896396E-1,4.804174706E-1,3.091417068E-1,6.959080878E-1
2.011428250E0,-2.133035034E-1,6.372365785E-1,2.110552490E-2,6.723200761E-1
2.021461250E0,-1.570065111E-1,7.471595550E-1,-2.320268726E-1,7.979567123E-1
2.031495250E0,-7.675727695E-2,6.659849989E-1,-6.475849807E-2,6.735141880E-1
2.041529250E0,9.944944382E-2,5.080195445E-1,3.504791826E-1,6.251477480E-1
2.051563250E0,1.211762354E-1,3.840910247E-1,8.338889658E-1,9.260563712E-1
2.061597250E0,1.762403423E-1,2.277777010E-1,1.235210858E0,1.268341122E0
2.071630250E0,4.337224835E-1,1.351785627E-1,1.407563387E0,1.479061569E0
2.081664250E0,6.140664017E-1,1.262387547E-1,1.250811229E0,1.399122046E0
2.091698250E0,5.637467256E-1,2.087444293E-1,8.134494388E-1,1.011476444E0
2.101732250E0,4.992922828E-1,2.894623178E-1,3.617438436E-1,6.811312835E-1
2.111765250E0,5.414992395E-1,3.139747229E-1,4.048027396E-3,6.259536241E-1
2.121799250E0,5.419816348E-1,2.729676148E-1,-2.090490693E-1,6.418387060E-1
2.131833250E0,5.312286052E-1,1.942164373E-1,-2.795378387E-1,6.309241308E-1
2.141867250E0,6.614060444E-1,1.133772191E-1,-2.505075824E-1,7.162865336E-1
2.151900250E0,8.614454314E-1,6.334668785E-2,-2.229052162E-1,8.920693749E-1
2.161934250E0,1.019038418E0,1.183777580E-1,-2.166253066E-1,1.048512811E0
2.171968250E0,1.106449907E0,2.259782204E-1,-3.339520276E-1,1.177633860E0
2.182002250E0,1.080137144E0,2.034702408E-1,-3.857028097E-1,1.164844645E0
2.192036250E0,1.099090309E0,1.477085611E-1,-3.653164923E-1,1.167593022E0
2.202069250E0,1.022885594E0,1.834277397E-1,-3.636874580E-1,1.101003742E0
2.212103250E0,8.884092817E-1,1.433468306E-1,-3.798316205E-1,9.767760365E-1
2.222137250E0,7.980738929E-1,6.229769737E-2,-2.709278136E-1,8.451063967E-1
2.232171250E0,7.634542832E-1,-2.399989665E-2,-1.108871824E-1,7.718383281E-1
2.242204250E0,7.657268035E-1,-1.354168367E-1,-6.505027413E-3,7.776358870E-1
2.252238250E0,7.053405610E-1,-1.922473875E-1,-4.152809501E-2,7.322492387E-1
2.262272250E0,6.197767925E-1,-2.835747564E-1,-1.693844819E-1,7.023026539E-1
2.272306250E0,5.401684132E-1,-3.815606421E-1,-2.936565256E-1,7.236052745E-1
