"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.443793792E0,-3.560761959E0,3.289100027E0,2.791589391E-1,4.855423198E0
1.453783792E0,-2.512504712E0,2.501610180E0,-6.526837528E-1,3.605097710E0
1.463772792E0,-1.589605921E0,1.982723292E0,-1.875150166E0,3.158199927E0
1.473762792E0,-4.571838516E-1,2.123768951E0,-2.754628556E0,3.508189008E0
1.483751792E0,5.942642212E-1,2.533317291E0,-3.378240538E0,4.264194601E0
1.493741792E0,1.284933826E0,2.498474318E0,-4.075453176E0,4.950024995E0
1.503730792E0,1.796400304E0,2.603818924E0,-4.499599675E0,5.500302199E0
1.513720792E0,2.074545336E0,2.276882386E0,-4.803276574E0,5.706084261E0
1.523709792E0,2.059338482E0,1.424348989E0,-4.624225475E0,5.258622089E0
1.533699792E0,1.883465345E0,5.966387755E-1,-3.924867493E0,4.394087433E0
1.543688792E0,1.372330404E0,-3.852391255E-1,-2.947587842E0,3.274137140E0
1.553678792E0,7.406603748E-1,-1.061519317E0,-2.003307099E0,2.385087081E0
1.563668792E0,2.296201587E-1,-1.497115833E0,-1.580337499E0,2.188960449E0
1.573657792E0,-1.684261233E-1,-1.589419395E0,-1.183070797E0,1.988536619E0
1.583647792E0,-1.974277282E-1,-1.719950883E0,-9.479770602E-1,1.973795646E0
1.593636792E0,-2.579160047E-1,-1.782757580E0,-6.175257607E-1,1.904227749E0
1.603626792E0,-2.044783008E-1,-1.605487543E0,-1.282960975E-1,1.623533651E0
1.613615792E0,1.979346818E-1,-1.968774467E0,8.747867310E-1,2.163446987E0
1.623605792E0,4.158229870E-1,-1.416648790E0,1.925996237E0,2.426780595E0
1.633594792E0,8.860227406E-1,-1.124911906E0,2.263612130E0,2.678507601E0
1.643584792E0,2.083183427E0,-1.670619094E0,1.715073720E0,3.173657073E0
1.653573792E0,2.727039054E0,-1.377605762E0,5.905850069E-1,3.111804989E0
1.663563792E0,2.443526278E0,-7.815517080E-1,-7.688031699E-1,2.678190071E0
1.673552792E0,1.823752994E0,-4.082508427E-1,-1.226662229E0,2.235496356E0
1.683542792E0,1.504262300E0,-7.539312154E-1,-1.488574805E0,2.246569005E0
1.693531792E0,1.459258035E0,-1.594027585E0,-2.904668695E-1,2.180534100E0
1.703521792E0,5.388291669E0,-4.323741741E0,1.674166015E0,7.108534420E0
1.713511792E0,6.629963701E0,1.914606446E-1,4.344354930E0,7.928839487E0
1.723500792E0,6.626828424E0,3.250911570E-1,3.818160485E0,7.654991098E0
1.733490792E0,4.880659795E0,6.662375987E-1,1.911926082E0,5.283954383E0
1.743479792E0,3.445868264E0,-5.442436302E-1,-1.959735256E0,4.001346211E0
1.753469792E0,2.789051115E0,2.391791868E-1,-4.128549403E0,4.988079087E0
1.763458792E0,2.776374936E0,1.403372687E0,-2.731885811E0,4.140158544E0
1.773448792E0,2.047840517E0,8.031191629E-1,-1.874463556E0,2.890028512E0
1.783437792E0,1.111082656E0,-5.976883507E-1,6.813380331E-1,1.433861063E0
1.793427792E0,5.849051678E-1,-2.137759584E0,2.931708559E0,3.675193215E0
1.803416792E0,1.310260456E0,-1.951887708E0,3.170367343E0,3.946881957E0
1.813406792E0,2.153555837E0,-9.231157225E-1,1.901133730E0,3.017325777E0
1.823395792E0,2.189296358E0,-1.193603826E-1,1.237778809E0,2.517808933E0
1.833385792E0,1.846964686E0,6.531667328E-1,2.250973374E-2,1.959186571E0
1.843375792E0,7.724569488E-1,2.160987648E0,-9.291766539E-1,2.475868859E0
1.853364792E0,-1.336378214E0,2.334188608E0,1.161210836E0,2.929633730E0
1.863354792E0,-5.246721223E0,9.870608729E-1,5.722562370E0,7.826243853E0
1.873343792E0,-3.571621993E0,1.787051191E0,-6.042138433E-1,4.039196700E0
1.883333792E0,-1.276112716E0,3.202770274E0,-9.405123585E-1,3.573620655E0
1.893322792E0,-3.221663797E-1,3.318636945E0,2.650626178E0,4.259455538E0
1.903312792E0,-5.142959458E-1,2.789618880E0,2.198414945E0,3.588802319E0
1.913301792E0,-2.108718218E0,5.749228013E-1,2.762159185E0,3.522321978E0
1.923291792E0,-3.230993614E0,-2.331825163E0,2.045177695E0,4.478781099E0
1.933280792E0,-1.280343761E0,-5.528374000E0,8.497542161E-1,5.737968408E0
1.943270792E0,4.246339223E0,-4.009453899E0,8.136564302E-1,5.896537472E0
1.953259792E0,6.352684057E0,-3.449457870E0,-5.925042093E-2,7.229029322E0
1.963249792E0,6.633373797E0,-3.128304813E0,-1.629034281E-2,7.334044199E0
1.973238792E0,5.356435454E0,-4.848452747E-1,2.033029520E0,5.749755190E0
1.983228792E0,4.407049069E0,9.159359264E-1,6.433749855E0,7.852016130E0
1.993217792E0,3.228503285E0,1.465402290E0,6.988723125E0,7.836637561E0
2.003207792E0,1.587540977E0,2.572735126E0,6.567847559E0,7.230205664E0
2.013197792E0,5.291589832E-1,3.616485339E0,4.243499815E0,5.600559447E0
2.023186792E0,-2.103410116E0,2.681208578E0,-2.440101564E0,4.191337399E0
2.033176792E0,-3.135905901E0,1.112530426E0,-1.127104027E1,1.175193509E1
2.043165792E0,-2.499602538E0,-8.051791370E-2,-1.253229755E1,1.277939661E1
