"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.610106667E-1,6.465672728E-1,2.710418344E-2,-6.369956732E-2,6.502626469E-1
8.709986667E-1,6.741689081E-1,-5.802367508E-2,-1.181285204E-1,6.868950509E-1
8.809866667E-1,8.665664229E-1,-2.869018221E-1,-1.984562534E-1,9.341492950E-1
8.909746667E-1,1.219580958E0,-3.685318762E-1,-2.375326109E-1,1.295999691E0
9.009626667E-1,1.418524285E0,-3.667092991E-1,-1.905065252E-1,1.477490979E0
9.109506667E-1,1.485735105E0,-2.752904212E-1,-2.269514894E-1,1.527972708E0
9.209386667E-1,1.709626600E0,5.766487824E0,8.507657844E-1,6.074455313E0
9.309266667E-1,2.295644493E0,1.448700069E1,-3.185120161E-1,1.467121749E1
9.409146667E-1,1.306900353E0,1.054416470E1,-4.672976636E0,1.160707148E1
9.509026667E-1,8.464688849E-1,9.635752974E0,-5.760896131E-2,9.673032809E0
9.608906667E-1,8.478639574E-1,7.674195140E0,1.703943545E0,7.906678692E0
9.708786667E-1,1.041617807E0,6.914451208E0,2.925202654E-1,6.998583518E0
9.808666667E-1,7.841309879E-1,8.208787941E0,-2.026479615E0,8.491506374E0
9.908546667E-1,1.456205350E0,8.217509063E0,-1.790855389E0,8.535522963E0
1.000842667E0,1.321691908E0,8.556855147E0,-2.202785885E0,8.934142665E0
1.010830667E0,1.507526508E0,5.229732138E0,-8.506002351E-1,5.508743520E0
1.020818667E0,1.165827943E0,4.249291483E0,-8.801902161E-1,4.493369305E0
1.030806667E0,1.841736106E0,4.174718433E0,-7.619700406E-1,4.626106810E0
1.040794667E0,9.671456219E-1,5.079264568E0,-2.542900878E0,5.762000007E0
1.050782667E0,-9.397380410E-1,-6.626265922E0,-2.263026824E0,7.064828240E0
1.060770667E0,5.991436057E0,-3.016576450E1,4.384334682E0,3.106594670E1
1.070758667E0,8.576819880E0,-2.497899653E1,3.935267351E0,2.670203056E1
1.080746667E0,-4.990734215E0,-6.285410087E0,-2.565896223E0,8.426009220E0
1.090734667E0,-9.032737225E0,-7.821880605E0,-4.467679725E0,1.275665787E1
1.100722667E0,-5.902644918E0,-1.045674181E1,-1.971994529E0,1.216854259E1
1.110710667E0,-4.230106183E0,-7.424641238E0,-5.181843442E-1,8.560818352E0
1.120698667E0,4.760832220E-1,-3.518266150E0,2.778785158E0,4.508491864E0
1.130686667E0,9.408813179E0,-1.327015652E0,2.525573823E0,9.831849221E0
1.140674667E0,7.543292938E0,-2.580085661E0,6.940638401E-1,8.002489299E0
1.150662667E0,3.625358489E0,-2.521404174E0,3.305939716E-1,4.428317463E0
1.160650667E0,-3.500903428E-2,-3.408325047E0,-7.751427211E-2,3.409386121E0
1.170638667E0,-3.135416781E0,-4.171784300E0,-2.907387650E-1,5.226772586E0
1.180627667E0,-4.519830456E0,-4.846889786E0,-3.126832923E-1,6.634680007E0
1.190615667E0,-4.379245850E0,-4.473899993E0,-9.439054978E-1,6.331234710E0
1.200603667E0,-3.636785995E0,-2.795692382E0,-1.026984492E0,4.700723925E0
1.210591667E0,-1.697758799E0,1.794480078E0,-9.792296970E-1,2.657335976E0
1.220579667E0,1.295687879E0,6.938297907E0,-1.889662809E0,7.306819449E0
